"","tool","toolVec104","toolVec518","toolVecyes123","toolVec1111","toolManP"
"1","3ds max",3,0,0,0,"104"
"2","a+",1,0,0,0,"104"
"3","ada",1,0,0,0,"104"
"4","ado",7,0,0,0,"104"
"5","aix",2,0,0,0,"104"
"6","ajax",88,0,0,0,"104"
"7","ansi sql",12,0,0,0,"104"
"8","arm",7,0,0,0,"104"
"9","asic",3,0,0,0,"104"
"10","asp",31,0,0,0,"104"
"11","asp.net",219,0,0,0,"104"
"12","access",11,0,0,0,"104"
"13","actionscript",4,0,0,0,"104"
"14","activex",4,0,0,0,"104"
"15","adobe acrobat",5,0,0,0,"104"
"16","adobe certified flash designer",1,0,0,0,"104"
"17","adobe certified flash developer",1,0,0,0,"104"
"18","adobe photoshop",10,0,0,0,"104"
"19","after effects",1,0,0,0,"104"
"20","android",153,0,0,0,"104"
"21","apache soap",3,0,0,0,"104"
"22","apple",12,0,0,0,"104"
"23","arcgis",1,0,0,0,"104"
"24","assembly",16,0,0,0,"104"
"25","authorware",1,0,0,0,"104"
"26","autocad",29,0,0,0,"104"
"27","autocad 2d",3,0,0,0,"104"
"28","autocad 3d",2,0,0,0,"104"
"29","bios工程規格及流程撰寫",3,0,0,0,"104"
"30","bios程式偵錯與維護",5,0,0,0,"104"
"31","bios程式研發",5,0,0,0,"104"
"32","base",1,0,0,0,"104"
"33","biztalk",1,0,0,0,"104"
"34","bluetooth",3,0,0,0,"104"
"35","bridges",1,0,0,0,"104"
"36","brio",1,0,0,0,"104"
"37","bugzilla",2,0,0,0,"104"
"38","c",478,0,0,0,"104"
"39","c#",458,0,0,0,"104"
"40","c++",636,0,0,0,"104"
"41","c++.net",79,0,0,0,"104"
"42","c++test",2,0,0,0,"104"
"43","cam",3,0,0,0,"104"
"44","ccna",3,0,0,0,"104"
"45","ccnp",2,0,0,0,"104"
"46","cgi",13,0,0,0,"104"
"47","cim",5,0,0,0,"104"
"48","cnc加工機及相關機械操作",1,0,0,0,"104"
"49","cnc程式設計與程式模擬",1,0,0,0,"104"
"50","cobol",2,0,0,0,"104"
"51","cpld",1,0,0,0,"104"
"52","cvs",2,0,0,0,"104"
"53","catia",2,0,0,0,"104"
"54","circuit design",1,0,0,0,"104"
"55","cisco",2,0,0,0,"104"
"56","clipper",1,0,0,0,"104"
"57","cold fusion",1,0,0,0,"104"
"58","coreldraw",3,0,0,0,"104"
"59","db2",7,0,0,0,"104"
"60","ddk",2,0,0,0,"104"
"61","dhcp",9,0,0,0,"104"
"62","dhtml",44,0,0,0,"104"
"63","dns",6,0,0,0,"104"
"64","dos",3,0,0,0,"104"
"65","dsp",3,0,0,0,"104"
"66","data modeling",6,0,0,0,"104"
"67","database administrator",3,0,0,0,"104"
"68","database management",9,0,0,0,"104"
"69","dbase",1,0,0,0,"104"
"70","delphi",31,0,0,0,"104"
"71","developer/ designer 2000",2,0,0,0,"104"
"72","directx",7,0,0,0,"104"
"73","director",1,0,0,0,"104"
"74","dreamweaver",7,0,0,0,"104"
"75","drivers",5,0,0,0,"104"
"76","eda",4,0,0,0,"104"
