"","toolList","toolAmount518","toolAmount104","toolAmountyes123","toolAmount1111","total"
"116","java",58,477,139,257,931
"40","c++",31,636,40,105,812
"117","javascript",74,348,16,339,777
"94","html",106,235,75,271,687
"38","c",27,478,14,105,624
"141","ms sql",67,299,0,233,599
"11","asp.net",48,219,60,229,556
"152","mysql",101,190,59,196,546
"39","c#",16,458,39,0,513
"176","php",113,141,51,173,478
"308","jquery",30,195,35,218,478
"124","linux",51,296,27,88,462
"447","軟體程式設計",0,394,0,0,394
"81","excel",22,156,51,148,377
"298","word",21,153,51,143,368
"185","powerpoint",20,110,50,111,291
"6","ajax",51,88,24,122,285
"165","oracle",11,122,53,97,283
"486","c#.net",35,0,27,205,267
"20","android",11,153,13,51,228
"445","軟體工程系統開發",0,211,0,0,211
"479","css",75,0,22,108,205
"169","outlook",13,73,26,84,196
"115","jsp",19,79,21,57,176
"300","xml",18,79,16,61,174
"268","visual c++",12,131,0,26,169
"494","sql",5,0,102,49,156
"306","ios",9,87,10,41,147
"412","網路程式設計",0,141,0,0,141
"10","asp",23,31,22,60,136
"62","dhtml",24,44,13,47,128
"436","資料庫程式設計",0,126,0,0,126
"191","python",2,93,2,28,125
"480","不拘",123,0,0,0,123
"26","autocad",3,29,0,88,120
"266","visual basic .net",12,104,0,0,116
"162","objective-c",14,101,0,0,115
"267","visual c#",1,111,0,0,112
"265","visual basic",7,70,0,33,110
"288","windows 7",20,48,0,38,106
"273","visual studio .net",1,99,0,0,100
"74","dreamweaver",30,7,12,50,99
"401","系統整合分析",0,96,0,0,96
"297","windows xp",9,33,0,48,90
"41","c++.net",5,79,5,0,89
"272","visual studio",3,82,0,0,85
"534","ms",0,0,84,0,84
"103","illustrator",14,5,3,61,83
"95","http",8,43,4,26,81
"87","flash",19,11,7,39,76
"402","系統架構規劃",0,73,0,0,73
"228","spring",6,60,6,0,72
"446","軟體整合測試",0,70,0,0,70
"493","pl",5,0,16,49,70
"216","swift",6,42,4,16,68
"248","tomcat",1,33,6,26,66
"230","struts",1,40,3,21,65
"237","tcp/ip",0,50,0,12,62
"546","photoshop",0,0,6,56,62
"70","delphi",1,31,11,17,60
"108","j2ee",0,51,9,0,60
"565","vb.net",0,0,0,60,60
"438","資料庫軟體應用",0,59,0,0,59
"535","script",0,0,57,0,57
"566","windows server 2000-2012",0,0,0,56,56
"437","資料庫系統管理維護",0,54,0,0,54
"12","access",16,11,6,20,53
"406","結構化程式設計",0,52,0,0,52
"444","軟體品質與保證",0,52,0,0,52
"142","mac os",8,29,0,13,50
"475","韌體程式設計",0,48,0,0,48
"380","模組化系統設計",0,47,0,0,47
"160","oop",1,32,0,13,46
"250","uml",3,23,4,15,45
"330","功能測試(function test)",0,44,0,0,44
"227","solidworks",1,6,0,35,42
"139","mfc",1,40,0,0,41
"251","unix",6,22,6,7,41
"404","系統維護操作",0,40,0,0,40
"536","windows",0,0,39,0,39
"189","project",7,17,0,14,38
"286","windows 2000",6,31,0,0,37
"537","vb",0,0,35,0,35
"294","windows server 2008",3,31,0,0,34
"337","問題追蹤處理(bug tracking)",0,34,0,0,34
"538","visual",0,0,34,0,34
"121","labview",0,32,0,1,33
"293","windows nt",5,17,0,11,33
"320","作業系統基本操作",0,33,0,0,33
"473","韌體工程開發",0,33,0,0,33
"111","jdbc",0,30,2,0,32
"289","windows 8",1,21,0,10,32
"295","windows server 2012",5,27,0,0,32
"264","visio",7,13,3,8,31
"13","actionscript",12,4,6,8,30
"177","pl/sql",0,30,0,0,30
"567","obj-c",0,0,0,30,30
"322","使用者測試(usability test)",0,29,0,0,29
"416","網路資料傳輸",0,29,0,0,29
"183","postgresql",2,23,3,0,28
"219","servlets",0,18,2,8,28
"285","winform",1,24,2,0,27
"18","adobe photoshop",16,10,0,0,26
"178","plc",0,24,0,2,26
"181","perl",3,21,0,2,26
"287","windows 2003",12,14,0,0,26
"291","windows 98",3,14,0,9,26
"301","xml web services",6,19,0,0,25
"386","測試計劃及測試報告書撰寫",0,24,0,0,24
"224","socket",0,21,2,0,23
"274","vmware",2,6,3,12,23
"92","frontpage",8,5,2,7,22
"319","伺服器網站管理維護",0,21,0,0,21
"347","壓力測試(stress test)",0,21,0,0,21
"313","中文打字20~50",0,20,0,0,20
"539",".net",0,0,20,0,20
"568","mastercam",0,0,0,20,20
"101","iis",4,12,3,0,19
"296","windows vista",6,3,0,10,19
"351","安全性測試(security test)",0,19,0,0,19
"540","web",0,0,19,0,19
"256","vbscript",1,17,0,0,18
"24","assembly",0,16,0,1,17
"46","cgi",3,13,0,1,17
"136","mcu",0,17,0,0,17
"385","測試環境建置規劃",0,17,0,0,17
"403","系統架構規劃與維護",0,17,0,0,17
"541","studio",0,0,17,0,17
"1","3ds max",0,3,0,13,16
"184","powerbuilder",1,5,3,7,16
"254","unity3d",0,16,0,0,16
"299","xhtml",2,10,4,0,16
"439","資料通訊與網路應用",0,16,0,0,16
"114","jsf",1,7,7,0,15
"197","rdbms",2,11,2,0,15
"495","vb script",4,0,0,11,15
"569","adobe photoshop lightroom",0,0,0,15,15
"85","fireworks",6,2,0,6,14
"109","j2se",1,13,0,0,14
"146","matlab",0,12,0,2,14
"277","win ce",3,11,0,0,14
"432","設計機台設備自動化",0,14,0,0,14
"520","tcp",7,0,7,0,14
"521","ip",7,0,7,0,14
"542","7",0,0,14,0,14
"19","after effects",1,1,0,11,13
"22","apple",1,12,0,0,13
"84","firewall",1,9,3,0,13
"202","ruby",2,6,2,3,13
"255","vba",1,9,0,3,13
"417","網頁語法撰寫",0,13,0,0,13
"441","資訊設備環境設定",0,13,0,0,13
"497","corel draw",3,0,0,10,13
"570","pro-e",0,0,0,13,13
"571","unity",0,0,0,13,13
"7","ansi sql",0,12,0,0,12
"28","autocad 3d",1,2,0,9,12
"63","dns",2,6,0,4,12
"83","ftp",1,11,0,0,12
"88","flex",1,4,0,7,12
"90","freebsd",3,4,0,5,12
"128","maya",1,3,0,8,12
"159","ooad",0,12,0,0,12
"220","shell",0,12,0,0,12
"284","win32",0,12,0,0,12
"388","無線通訊技術開發",0,12,0,0,12
"474","韌體整合測試",0,12,0,0,12
"485","網路設計",4,0,0,8,12
"15","adobe acrobat",6,5,0,0,11
"59","db2",0,7,0,4,11
"61","dhcp",2,9,0,0,11
"249","udp",0,11,0,0,11
"435","資料備份與復原",0,11,0,0,11
"533","ug",1,0,0,10,11
"543","services",0,0,11,0,11
"27","autocad 2d",1,3,0,6,10
"80","ethernet",0,9,0,1,10
"234","systems analysis",0,8,0,2,10
"373","文書處理軟體操作",0,10,0,0,10
"469","電腦設備裝配",0,10,0,0,10
"478","鼎新",1,9,0,0,10
"484","pc",6,0,0,4,10
"14","activex",0,4,5,0,9
"64","dos",6,3,0,0,9
"68","database management",0,9,0,0,9
"186","premiere",1,1,0,7,9
"208","scjp",0,9,0,0,9
"364","微電腦軟體設計",0,9,0,0,9
"488","developer",1,0,8,0,9
"544","configuring",0,0,9,0,9
"106","internet explorer",2,6,0,0,8
"118","junit",0,6,2,0,8
"161","os x",2,6,0,0,8
"260","vpn",0,5,0,3,8
"282","weblogic",0,6,2,0,8
"315","中文打字50~75",4,4,0,0,8
"318","企業資源規劃管理(erp)",0,8,0,0,8
"389","無線通訊模組測試",0,8,0,0,8
"421","自動化系統設計整合",0,8,0,0,8
"423","英文打字20~50",0,8,0,0,8
"498","pc週邊",3,0,0,5,8
"545","master",0,0,8,0,8
"572","lnternet explorer",0,0,0,8,8
"4","ado",0,7,0,0,7
"8","arm",0,7,0,0,7
"53","catia",0,2,0,5,7
"72","directx",0,7,0,0,7
"119","lan",0,5,0,2,7
"158","odbc",1,6,0,0,7
"182","photoimpact",1,1,0,5,7
"187","pro/e",0,7,0,0,7
"247","toad",3,4,0,0,7
"409","網路安全架構分析與設計",0,7,0,0,7
"573","hibernate",0,0,0,7,7
"50","cobol",0,2,2,2,6
"66","data modeling",0,6,0,0,6
"69","dbase",4,1,0,1,6
"107","inventor",0,1,0,5,6
"203","san",0,5,0,1,6
"215","stl",0,6,0,0,6
"283","websphere",0,4,2,0,6
"292","windows mobile",1,4,0,1,6
"384","流程圖軟體操作",0,6,0,0,6
"425","英文打字50~75",2,4,0,0,6
"574","solidedge",0,0,0,6,6
"30","bios程式偵錯與維護",0,5,0,0,5
"31","bios程式研發",0,5,0,0,5
"47","cim",0,5,0,0,5
"55","cisco",1,2,0,2,5
"75","drivers",0,5,0,0,5
"100","ic版圖佈局佈線",0,5,0,0,5
"104","informix",0,1,0,4,5
"143","mac/macintosh",0,5,0,0,5
"157","ocp java dev.",0,5,0,0,5
"166","oracle erp",2,2,0,1,5
"175","pcb電路板設計",0,5,0,0,5
"209","scwcd",0,5,0,0,5
"257","vlan",0,5,0,0,5
"355","專案成本╱品質╱風險管理",0,5,0,0,5
"358","專案溝通╱整合管理",0,5,0,0,5
"361","專案規劃執行╱範圍管理",0,5,0,0,5
"366","撰寫硬體語言程式",0,5,0,0,5
